963,450,BLACK
963,451,BLACK
964,449,BLACK
964,450,LIGHTBLUE
964,451,LIGHTBLUE
964,452,BLACK
965,448,BLACK
965,449,LIGHTBLUE
965,450,LIGHTBLUE
965,451,LIGHTBLUE
965,452,BLACK
966,448,BLACK
966,449,LIGHTBLUE
966,450,LIGHTBLUE
966,451,LIGHTBLUE
966,452,LIGHTBLUE
966,453,BLACK
967,447,BLACK
967,448,LIGHTBLUE
967,449,LIGHTBLUE
967,450,LIGHTBLUE
967,451,LIGHTBLUE
967,452,LIGHTBLUE
967,453,LIGHTBLUE
967,454,BLACK
967,459,BLACK
968,446,BLACK
968,447,LIGHTBLUE
968,448,LIGHTBLUE
968,449,LIGHTBLUE
968,450,LIGHTBLUE
968,451,LIGHTBLUE
968,452,LIGHTBLUE
968,453,LIGHTBLUE
968,454,BLACK
968,458,BLACK
968,459,BLACK
969,446,BLACK
969,447,LIGHTBLUE
969,448,LIGHTBLUE
969,449,LIGHTBLUE
969,450,LIGHTBLUE
969,451,LIGHTBLUE
969,452,LIGHTBLUE
969,453,LIGHTBLUE
969,454,LIGHTBLUE
969,455,BLACK
969,457,BLACK
969,458,BLUE
969,459,BLACK
970,445,BLACK
970,446,WHITE
970,447,WHITE
970,448,WHITE
970,449,WHITE
970,450,WHITE
970,451,WHITE
970,452,WHITE
970,453,WHITE
970,454,WHITE
970,455,WHITE
970,456,BLACK
970,457,BLUE
970,458,BLUE
970,459,BLACK
971,445,BLACK
971,446,WHITE
971,447,WHITE
971,448,WHITE
971,449,WHITE
971,450,WHITE
971,451,WHITE
971,452,WHITE
971,453,WHITE
971,454,WHITE
971,455,WHITE
971,456,WHITE
971,457,BLUE
971,458,BLUE
971,459,BLACK
972,444,BLACK
972,445,WHITE
972,446,WHITE
972,447,BLUE
972,448,BLUE
972,449,BLUE
972,450,WHITE
972,451,WHITE
972,452,LIGHTBLUE
972,453,LIGHTBLUE
972,454,LIGHTBLUE
972,455,WHITE
972,456,WHITE
972,457,BLUE
972,458,BLUE
972,459,BLACK
973,443,BLACK
973,444,BLUE
973,445,WHITE
973,446,WHITE
973,447,BLUE
973,448,BLUE
973,449,BLUE
973,450,WHITE
973,451,WHITE
973,452,LIGHTBLUE
973,453,LIGHTBLUE
973,454,BLUE
973,455,WHITE
973,456,WHITE
973,457,BLUE
973,458,BLUE
973,459,BLACK
974,443,BLACK
974,444,BLUE
974,445,WHITE
974,446,WHITE
974,447,BLUE
974,448,BLUE
974,449,LIGHTBLUE
974,450,WHITE
974,451,WHITE
974,452,LIGHTBLUE
974,453,LIGHTBLUE
974,454,BLUE
974,455,WHITE
974,456,WHITE
974,457,BLUE
974,458,BLUE
974,459,BLACK
975,442,BLACK
975,443,BLUE
975,444,BLUE
975,445,WHITE
975,446,WHITE
